Species,Redlist_cat,Status,Criteria,Habitat
Acer campestre L.,LC,N,,FOR
Acer platanoides L.,LC,N,,FOR
Acer pseudoplatanus L.,LC,N,,FOR
Achillea millefolium L.,LC,N,,DRY
Achillea nobilis L.,CR,EA,B2b(iv),DRY
Achillea ptarmica L.,LC,N,,MAR
Acinos arvensis (Lam.) Dandy,VU,N,"B2b(iv,v)",DRY
Aconitum lycoctonum L. subsp. vulparia (Reichenb.) Nyman,VU,N,B1a+2b(v),FOR
Acorus calamus L.,LC,EA,,FRE
Actaea spicata L.,LC,N,,FOR
Adonis aestivalis L.,RE,N,,RUD
Adonis annua L.,RE,N,,RUD
Adonis flammea Jacq.,RE,N,,RUD
Adoxa moschatellina L.,LC,N,,FOR
Aegopodium podagraria L.,LC,N,,FOR
Aethusa cynapium L.,LC,N,,RUD
Agrimonia eupatoria L.,LC,N,,DRY
Agrimonia procera Wallr.,LC,N,,FOR
Agrostemma githago L.,RE,N,,RUD
Agrostis canina L.,NT,N,,MAR
Agrostis capillaris L.,LC,N,,DRY
Agrostis gigantea Roth,LC,N,,RUD
Agrostis stolonifera L.,LC,N,,MAR
Agrostis vinealis Schreb.,NT,N,,DRY
Aira caryophyllea L.,VU,N,"B1a+2b(iv,v)",DRY
Aira praecox L.,VU,N,"B1a+2b(iv,v)",DRY
Ajuga chamaepitys (L.) Schreb.,RE,N,,RUD
Ajuga genevensis L.,EN,N,"B2b(iii,iv)",DRY
Ajuga pyramidalis L.,EN,N,"B2b(iii,iv); C2a(i)",DRY
Ajuga reptans L.,LC,N,,MAR
Alchemilla filicaulis Buser,VU,N,B1a+2b(iv),DRY
Alchemilla glabra Neygenf.,LC,N,,MAR
Alchemilla monticola Opiz,R,N,,DRY
Alchemilla vulgaris L.,R,N,,DRY
Alchemilla xanthochlora Rothm.,LC,N,,DRY
Alisma lanceolatum With.,CR,N,C2a(i),AQU
Alisma plantago-aquatica L.,LC,N,,FRE
Alliaria petiolata (Bieb.) Cavara et Grande,LC,N,,FOR
Allium oleraceum L.,LC,N,,DRY
Allium rotundum L.,EN,N,B2b(iv); D1,RUD
Allium scorodoprasum L.,EN,N,C2a(ii),DRY
Allium ursinum L.,LC,N,,FOR
Allium vineale L.,LC,N,,DRY
Alnus glutinosa (L.) Gaertn.,LC,N,,MAR
Alopecurus aequalis Sobol.,VU,N,"B1a+2b(iv,v)",MAR
Alopecurus geniculatus L.,LC,N,,MAR
Alopecurus myosuroides Huds.,LC,N,,RUD
Alopecurus pratensis L.,LC,N,,GRA
Alopecurus rendlei Eig,NT,N,,MAR
Althaea hirsuta L.,CR,N,"B2b(iii,iv)",RUD
Althaea officinalis L.,R,N,,MAR
Alyssum alyssoides (L.) L.,NT,N,,ROC
Amaranthus retroflexus L.,LC,EA,,RUD
Amelanchier ovalis Med.,R,N,,ROC
Anacamptis pyramidalis (L.) L.C.M. Rich,VU,N,B2b(iv),DRY
Anagallis arvensis L.,LC,N,,RUD
Anagallis arvensis L. subsp. arvensis f. arvensis,LC,N,,RUD
Anagallis arvensis L. subsp. arvensis f. carnea (Schrank) Hyl.,LC,N,,RUD
Anagallis arvensis L. subsp. foemina (Mill.) Schinz et Thell.,VU,N,"B1a+2b(iv,v)",RUD
Anchusa arvensis (L.) Bieb.,LC,N,,RUD
Anemone nemorosa L.,LC,N,,FOR
Anemone ranunculoides L.,LC,N,,FOR
Anemone sylvestris L.,RE,N,,FOR
Angelica sylvestris L.,LC,N,,MAR
Antennaria dioica (L.) Gaertn.,RE,N,,DRY
Anthemis arvensis L.,LC,N,,RUD
Anthemis cotula L.,CR,N,"B1a+2b(iv,v)",RUD
Anthemis tinctoria L.,LC,N,,RUD
Anthericum liliago L.,VU,N,"B2b(iv,v)",ROC
Anthoxanthum odoratum L.,LC,N,,GRA
Anthriscus caucalis Bieb.,RE,EA,,RUD
Anthriscus sylvestris (L.) Hoffm.,LC,N,,GRA
Anthyllis vulneraria L.,LC,N,,DRY
Apera interrupta (L.) Beauv.,LC,EA,,RUD
Apera spica-venti (L.) Beauv.,LC,N,,RUD
Aphanes arvensis L.,LC,N,,RUD
Aphanes australis Rydb.,EN,N,"B2b(iii,v)",RUD
Apium nodiflorum (L.) Lag.,EN,N,B2b(iv),FRE
Aquilegia vulgaris L.,NT,N,,FOR
Arabidopsis thaliana (L.) Heynh.,LC,N,,RUD
Arabis glabra (L.) Bernh.,VU,N,"B2b(iv,v)",FOR
Arabis hirsuta (L.) Scop.,LC,N,,DRY
Arabis pauciflora (Grimm) Garcke,R,N,,FOR
Arctium lappa L.,LC,N,,RUD
Arctium minus (Hill) Bernh.,LC,N,,RUD
Arctium nemorosum Lej.,LC,N,,FOR
Arctium tomentosum Mill.,VU,N,B2b(iv),RUD
Arenaria serpyllifolia L.,LC,N,,ROC
Aristolochia clematitis L.,EN,N,"B2b(iii,iv)",FOR
Arnica montana L.,CR,N,B1a+2b(v); D1,DRY
Arnoseris minima (L.) Schweigg. et Körte,RE,N,,RUD
Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl,LC,N,,GRA
Artemisia absinthium L.,NT,N,,RUD
Artemisia vulgaris L.,LC,N,,RUD
Arum maculatum L.,LC,N,,FOR
Asarum europaeum L.,EN,N,C2a(ii); D1,FOR
Asparagus officinalis L.,LC,EA,,RUD
Asperula cynanchica L.,NT,N,,DRY
Asplenium adiantum-nigrum L.,LC,N,,ROC
Asplenium fontanum (L.) Bernh.,RE,N,,ROC
"Asplenium obovatum Viv. subsp. billotii (F.W. Schultz) O.Bolòs, Vigo, Masalles et Ninot",RE,N,,ROC
Asplenium ruta-muraria L.,LC,N,,ROC
Asplenium scolopendrium L.,NT,N,,FOR
Asplenium septentrionale (L.) Hoffmann,LC,N,,ROC
Asplenium trichomanes L.,LC,N,,ROC
"Asplenium trichomanes L. subsp. pachyrachis (Christ) Loviset Reichst.",DD,N,,ROC
Asplenium trichomanes L. subsp. quadrivalens D. E. Meyer,LC,N,,ROC
Asplenium trichomanes L. subsp. trichomanes,LC,N,,ROC
Asplenium trichomanes L. nsubsp. staufferi Lovis et Reichst.,R,N,,ROC
Asplenium viride Huds.,RE,N,,ROC
Asplenium ×alternifolium Wulfen,R,N,,ROC
Asplenium ×murbeckii Dörfler,R,N,,ROC
Aster amellus L.,CR,N,B1a; C2a,DRY
Aster novi-belgii L.,LC,EA,,FRE
Astragalus glycyphyllos L.,LC,N,,FOR
Athyrium filix-femina (L.) Roth,LC,N,,FOR
Atriplex patula L.,LC,N,,RUD
Atriplex prostrata Boucher ex DC.,LC,N,,RUD
Atropa bella-donna L.,LC,N,,FOR
Avena fatua L.,LC,N,,RUD
Avenula pratensis (L.) Dum.,EN,N,"B2b(iii,iv)",DRY
Avenula pubescens (Huds.) Dum.,NT,N,,DRY
Ballota nigra L.,LC,N,,RUD
Barbarea intermedia Boreau,LC,N,,RUD
Barbarea vulgaris R. Brown,LC,N,,RUD
Bellis perennis L.,LC,N,,GRA
Berberis vulgaris L.,EN,N,B1a+2b(iv),FOR
Berteroa incana (L.) DC.,LC,N,,RUD
Berula erecta (Huds.) Coville,VU,N,"B2b(iv,v)",FRE
Betula pendula Roth,LC,N,,FOR
Betula pubescens Ehrh.,NT,N,,FOR
Bidens cernua L.,VU,N,"B1a+2b(iv,v)",FRE
Bidens frondosa L.,LC,EA,,FRE
Bidens tripartita L.,LC,N,,FRE
Blackstonia perfoliata (L.) Huds.,RE,N,,DRY
Blechnum spicant (L.) Roth,VU,N,B1a+2b(iv),FOR
Blysmus compressus (L.) Panzer ex Link,CR,N,B1a+2b(iv),MAR
Bolboschoenus maritimus (L.) Palla,CR,N,C2a(ii),FRE
Botrychium lunaria (L.) Swartz,EN,N,"B2b(iii,iv); C2a(i)",DRY
Brachypodium pinnatum (L.) Beauv.,LC,N,,DRY
Brachypodium sylvaticum (Huds.) Beauv.,LC,N,,FOR
Brassica nigra (L.) Koch,LC,N,,RUD
Briza media L.,LC,N,,DRY
Bromus arvensis L.,LC,N,,RUD
Bromus commutatus Schrad.,LC,N,,RUD
Bromus erectus Huds.,LC,N,,DRY
Bromus hordeaceus L.,LC,N,,GRA
Bromus inermis Leyss.,LC,N,,RUD
Bromus lepidus Holmberg,RE,EA,,RUD
Bromus racemosus L.,LC,N,,MAR
Bromus ramosus Huds.,LC,N,,FOR
Bromus secalinus L.,CR,N,B1a+2b(iv); C2a(i),RUD
Bromus sterilis L.,LC,N,,RUD
Bromus tectorum L.,LC,N,,RUD
Bryonia dioica Jacq.,LC,N,,FOR
Bunias orientalis L.,LC,EA,,RUD
Bunium bulbocastanum L.,VU,N,B2b(iv),RUD
Bupleurum falcatum L.,LC,N,,DRY
Bupleurum rotundifolium L.,RE,EA,,RUD
Butomus umbellatus L.,VU,N,B1a+2b(iv),AQU
Buxus sempervirens L.,VU,N,B1a; D1,FOR
Calamagrostis arundinacea (L.) Roth,R,N,,FOR
Calamagrostis canescens (Web.) Roth,EN,N,B2b(iv),FOR
Calamagrostis epigejos (L.) Roth,LC,N,,FOR
Calamintha menthifolia Host,EN,N,B1a+2b(iv),FOR
Calendula arvensis L.,CR,N,B1a+2b(iv),RUD
Calepina irregularis (Asso) Thell.,LC,EA,,RUD
Calla palustris L.,RE,N,,MAR
Callitriche hamulata Kütz. ex Koch,LC,N,,AQU
Callitriche obtusangula Le Gall,R,N,,AQU
Callitriche palustris L.,EN,N,"B2b(iii,iv)",AQU
Callitriche platycarpa Kütz.,LC,N,,AQU
Callitriche stagnalis Scop.,LC,N,,AQU
Calluna vulgaris (L.) Hull,LC,N,,DRY
Caltha palustris L.,NT,N,,MAR
Calystegia sepium (L.) R. Brown,LC,N,,FRE
Campanula cervicaria L.,RE,N,,FOR
Campanula glomerata L.,EN,N,B1a+2b(iv),DRY
Campanula patula L.,CR,N,B1a+2b(iv),DRY
Campanula persicifolia L.,LC,N,,FOR
Campanula rapunculoides L.,LC,N,,RUD
Campanula rapunculus L.,LC,N,,DRY
Campanula rotundifolia L.,LC,N,,DRY
Campanula trachelium L.,LC,N,,FOR
Capsella bursa-pastoris (L.) Med.,LC,N,,RUD
Cardamine amara L.,LC,N,,MAR
Cardamine bulbifera (L.) Crantz,R,N,,FOR
Cardamine flexuosa With.,LC,N,,FOR
Cardamine hirsuta L.,LC,N,,RUD
Cardamine impatiens L.,LC,N,,FOR
Cardamine pratensis L.,LC,N,,GRA
Cardaminopsis arenosa (L.) Hayek,LC,N,,ROC
Cardaria draba (L.) Desv.,LC,EA,,RUD
Carduus crispus L.,LC,N,,RUD
Carduus nutans L.,LC,N,,RUD
Carex acuta L.,LC,N,,MAR
Carex acutiformis Ehrh.,LC,N,,MAR
Carex brizoides L.,R,N,,FOR
Carex canescens L.,VU,N,"B2b(iv,v)",MAR
Carex caryophyllea Latourr.,LC,N,,DRY
Carex cuprina (Sandór ex Heuffel) Nendtvich ex A. Kerner,VU,N,"B2b(iv,v)",MAR
Carex davalliana Smith,RE,N,,MAR
Carex demissa Vahl ex Hartman,LC,N,,MAR
Carex depauperata Curt. ex With.,RE,N,,FOR
Carex diandra Schrank,CR,N,C2a(ii); D1,MAR
Carex digitata L.,LC,N,,FOR
Carex distans L.,EN,N,"B1a+2b(iii,iv)",MAR
Carex disticha Huds.,LC,N,,MAR
Carex divulsa Stokes,LC,N,,FOR
Carex echinata Murray,VU,N,"B2b(iv,v)",MAR
Carex elata All.,CR,N,C2a(ii),MAR
Carex elongata L.,LC,N,,FOR
Carex flacca Schreb.,LC,N,,DRY
Carex flava L.,EN,N,"B1a+2b(iii,iv)",MAR
Carex hirta L.,LC,N,,GRA
Carex hostiana DC.,CR,N,B1a+2b(iv),MAR
Carex humilis Leyss.,R,N,,ROC
Carex lepidocarpa Tausch,VU,N,"B1a+2b(iv,v)",MAR
Carex montana L.,VU,N,"B2b(iv,v)",FOR
Carex muricata L. subsp. lamprocarpa Čelak,LC,N,,FOR
Carex nigra (L.) Reichard,LC,N,,MAR
Carex ornithopoda Willd.,CR,N,C2a(ii),AQU
Carex ovalis Good.,LC,N,,MAR
Carex pallescens L.,LC,N,,FOR
Carex panicea L.,LC,N,,MAR
Carex paniculata L.,LC,N,,MAR
Carex pendula Huds.,LC,N,,FOR
Carex pilosa Scop.,EN,N,C2a(ii); D1,FOR
Carex pilulifera L.,LC,N,,FOR
Carex pseudocyperus L.,EN,N,"B2b(iii,iv)",FRE
Carex pulicaris L.,CR,N,B1a+2b(iv),MAR
Carex remota Jusl. ex L.,LC,N,,FOR
Carex riparia Curt.,EN,N,"B2b(iii,iv)",MAR
Carex rostrata Stokes,LC,N,,MAR
Carex spicata Huds.,LC,N,,DRY
Carex strigosa Huds.,VU,N,B1a+2b(iv),FOR
Carex sylvatica Huds.,LC,N,,FOR
Carex tomentosa L.,LC,N,,DRY
Carex umbrosa Hoppe,R,N,,FOR
Carex vesicaria L.,LC,N,,MAR
Carex vulpina L.,VU,N,"B2b(iv,v)",MAR
Carlina vulgaris L.,LC,N,,DRY
Carpinus betulus L.,LC,N,,FOR
Carum carvi L.,LC,N,,DRY
Catabrosa aquatica (L.) Beauv.,CR,N,B1a+2b(iv),FRE
Caucalis platycarpos L.,RE,N,,RUD
Centaurea calcitrapa L.,RE,EA,,RUD
Centaurea cyanus L.,VU,N,"B2b(iv,v)+2c(iii,iv)",RUD
Centaurea jacea L.,LC,N,,DRY
"Centaurea jacea subsp. grandiflora (Gaudin) Schübl. etMartens",LC,N,,DRY
Centaurea jacea subsp. nigra (L.) Bonnier et Layens,LC,N,,DRY
Centaurea montana L.,NT,N,,FOR
Centaurea repens L.,CR,EA,C2a(ii),RUD
Centaurea scabiosa L.,LC,N,,DRY
Centaurea stoebe L.,RE,EA,,DRY
Centaurium erythraea Rafn,VU,N,"B2b(iv,v)",DRY
Centaurium pulchellum (SW.) Druce,VU,N,"B2b(iv,v)+2c(iii,iv)",FRE
Centranthus ruber (L.) DC.,LC,EA,,ROC
Centunculus minimus L.,EN,N,B1a+2b(iv),RUD
Cephalanthera damasonium (Mill.) Druce,NT,N,,FOR
Cephalanthera longifolia (L.) Fritsch,VU,N,B2b(iv),FOR
Cephalanthera rubra (L.) L. C. M. Rich.,VU,N,"B1a+2b(iv,v)",FOR
Cephalaria gigantea (L.) Roem. et Schultes,R,EA,,DRY
Cerastium arvense L.,LC,N,,DRY
Cerastium brachypetalum Pers.,LC,N,,ROC
Cerastium fontanum Baumg.,LC,N,,GRA
Cerastium glomeratum Thuill.,LC,N,,RUD
Cerastium pumilum Curt.,LC,N,,DRY
Cerastium semidecandrum L.,LC,N,,DRY
Ceratophyllum demersum L.,VU,N,B1a,AQU
Ceterach officinarum Willd.,VU,N,B1a+2b(v),ROC
Chaenorhinum minus (L.) Lange,LC,N,,RUD
Chaerophyllum aureum L.,RE,N,,FOR
Chaerophyllum bulbosum L.,R,N,,FRE
Chaerophyllum temulum L.,LC,N,,FOR
Cheiranthus cheiri L.,LC,EA,,ROC
Chelidonium majus L.,LC,N,,RUD
Chenopodium album L.,LC,N,,RUD
Chenopodium bonus-henricus L.,CR,N,"B2b(iv,v)",RUD
Chenopodium botrys L.,CR,EA,C2a(ii),RUD
Chenopodium glaucum L.,EN,N,B1a+2c(iv),RUD
Chenopodium hybridum L.,CR,N,"B2b(iv,v)",RUD
Chenopodium murale L.,RE,N,,RUD
Chenopodium polyspermum L.,LC,N,,RUD
Chenopodium rubrum L.,R,N,,RUD
Chenopodium urbicum L.,RE,N,,RUD
Chenopodium vulvaria L.,RE,N,,RUD
Chondrilla juncea L.,CR,N,B1a+2b(iv),RUD
Chondrilla latifolia Bieb.,EN,EA,B1a,RUD
Chrysosplenium alternifolium L.,LC,N,,AQU
Chrysosplenium oppositifolium L.,LC,N,,AQU
Cichorium intybus L.,LC,N,,RUD
Circaea alpina L.,CR,N,D1,FOR
Circaea lutetiana L.,LC,N,,FOR
Circaea xintermedia Ehrh.,VU,N,"B2b(iv,v)",FOR
Cirsium acaule Scop.,VU,N,"B2b(iv,v)",DRY
Cirsium arvense (L.) Scop.,LC,N,,RUD
Cirsium eriophorum (L.) Scop.,LC,N,,RUD
Cirsium oleraceum (L.) Scop.,LC,N,,MAR
Cirsium palustre (L.) Scop.,LC,N,,MAR
Cirsium vulgare (Savi) Ten.,LC,N,,RUD
Claytonia perfoliata Donn ex Willd.,LC,EA,,RUD
Clematis vitalba L.,LC,N,,FOR
Clinopodium vulgare L.,LC,N,,DRY
Coeloglossum viride (L.) Hartman,CR,N,B1a+2b(iv); D1,DRY
"Coincya monensis (L.) Greuter et Burdet subsp. cheiranthos(Vill.) Aedo, Leadlay et Muñoz Garmendia",VU,N,B2b(iv),ROC
Colchicum autumnale L.,VU,N,"B2b(iv,v)",MAR
Colutea arborescens L.,LC,EA,,FOR
Comarum palustre L.,VU,N,"B2b(iv,v)",MAR
Conium maculatum L.,NT,N,,RUD
Conopodium majus (Gouan) Loret,CR,N,C2a(ii); D1,FOR
Conringia orientalis (L.) Dum.,RE,N,,RUD
Consolida regalis S.F. Gray,CR,N,"B1a+2b(iv,v)",RUD
Convallaria majalis L.,NT,N,,FOR
Convolvulus arvensis L.,LC,N,,RUD
Conyza canadensis (L.) Cronq.,LC,EA,,RUD
Cornus mas L.,LC,N,,FOR
Cornus sanguinea L.,LC,N,,FOR
Coronopus squamatus (Forssk.) Aschers.,EN,N,B1a,RUD
Corrigiola litoralis L.,R,N,,FRE
Corydalis cava (L.) Schweigg. et Koerte,VU,N,"B1a+2b(iv,v)",FOR
Corydalis solida (L.) Clairv.,LC,N,,FOR
Corylus avellana L.,LC,N,,FOR
Corynephorus canescens (L.) Beauv.,EN,N,B1a+2b(v); C2a(i),DRY
Cotoneaster integerrimus Med.,NT,N,,ROC
Crataegus laevigata (Poiret) DC.,LC,N,,FOR
Crataegus monogyna Jacq.,LC,N,,FOR
Crataegus rhipidophylla Gandoge.,LC,N,,FOR
Crepis biennis L.,LC,N,,GRA
Crepis capillaris (L.) Wallr.,LC,N,,GRA
Crepis foetida L.,EN,N,B1a+2b(iv),RUD
Crepis paludosa (L.) Moench,LC,N,,MAR
Crepis polymorpha Pourr.,LC,N,,RUD
Crepis praemorsa (L.) F. W. Walther,RE,N,,DRY
Crepis pulchra L.,CR,N,"B2b(iv,v)",RUD
Crepis sancta (L.) Bornm. subsp. nemausensis (Gouan) Babc.,LC,EA,,RUD
Cruciata laevipes Opiz,LC,N,,GRA
Cuscuta epilinum Weihe,RE,N,,RUD
Cuscuta epithymum (L.) L.,CR,N,B1a+2b(iv),DRY
Cuscuta europaea L.,LC,N,,FRE
Cuscuta lupuliformis Krocker,LC,EA,,FRE
"Cymbalaria muralis Gaertn., B. Mey. et Scherb.",LC,EA,,ROC
Cynodon dactylon (L.) Pers.,LC,EA,,RUD
Cynoglossum officinale L.,VU,N,"B1a+2b(iv,v)",RUD
Cynosurus cristatus L.,LC,N,,GRA
Cyperus flavescens L.,RE,N,,FRE
Cyperus fuscus L.,R,N,,FRE
Cypripedium calceolus L.,RE,N,,FOR
Cystopteris fragilis (L.) Bernh.,LC,N,,ROC
Cytisus scoparius (L.) Link,LC,N,,DRY
Dactylis glomerata L.,LC,N,,GRA
Dactylis polygama Horvátovszky,R,N,,FOR
Dactylorhiza fuchsii (Druce) Soó,VU,N,"B1a+2b(iv,v)",MAR
Dactylorhiza incarnata (L.) Soó,CR,N,B1a; D1,MAR
Dactylorhiza maculata (L.) Soó,EN,N,B1a+2b(iv),DRY
Dactylorhiza majalis (Reichenb.) P. F. Hunt et Summerh.,VU,N,"B2b(iv,v)",MAR
Dactylorhiza praetermissa (Druce) Soó,CR,N,D1,MAR
Danthonia decumbens (L.) DC.,VU,N,"B2b(iv,v)",DRY
Daphne mezereum L.,NT,N,,FOR
Daucus carota L.,LC,N,,GRA
Deschampsia cespitosa (L.) Beauv.,LC,N,,MAR
Deschampsia flexuosa (L.) Trin.,LC,N,,FOR
Dianthus armeria L.,VU,N,"B2b(iv,v)",DRY
Dianthus carthusianorum L.,VU,N,"B2b(iv,v)",DRY
Dianthus deltoides L.,EN,N,"B1a+2b(iv,v)",DRY
Dianthus gratianopolitanus Vill.,R,N,,ROC
Digitalis grandiflora Mill.,VU,N,"B2b(iv,v)+2c(iii,iv)",FOR
Digitalis lutea L.,NT,N,,FOR
Digitalis purpurea L.,LC,N,,FOR
Digitaria ischaemum (Schreb. ex Schweigg.) Muhlenb.,LC,N,,RUD
Digitaria sanguinalis (L.) Scop.,EN,N,B1a+2b(iv),RUD
Diphasiastrum tristachyum (Pursh) Holub,RE,N,,DRY
Diplotaxis muralis (L.) DC.,R,N,,ROC
Diplotaxis tenuifolia (L.) DC.,LC,N,,ROC
Dipsacus fullonum L.,LC,N,,RUD
Dipsacus pilosus L.,NT,N,,FOR
Draba muralis L.,EN,N,B1a+2b(iv); C2a(i),ROC
Drosera rotundifolia L.,RE,N,,MAR
Dryopteris affinis (Lowe) Fraser-Jenkins,LC,N,,FOR
Dryopteris affinis (Lowe) Fraser-Jenkins subsp. affinis,R,N,,FOR
"Dryopteris affinis (Lowe) Fraser-Jenkins subsp. borreri(Newmann) Fraser-Jenkins",VU,N,"B1a+2b(iv,v)",FOR
"Dryopteris affinis subsp. cambrensis Fraser-Jenkins var.distans (Fiori) Fraser-Jenkins",R,N,,FOR
Dryopteris carthusiana (Vill.) H. P. Fuchs,LC,N,,FOR
Dryopteris dilatata (Hoffm.) A. Gray,LC,N,,FOR
Dryopteris filix-mas (L.) Schott,LC,N,,FOR
Dryopteris ×complexa Fraser-Jenkins,R,N,,FOR
Echinochloa crus-galli (L.) Beauv.,LC,N,,RUD
Echinops sphaerocephalus L.,LC,EA,,RUD
Echium vulgare L.,LC,N,,RUD
Eleocharis acicularis (L.) Roem. et Schult.,R,N,,FRE
Eleocharis ovata (Roth) Roem. et Schult.,R,N,,MAR
Eleocharis palustris (L.) Roem. et Schult.,LC,N,,MAR
Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz,CR,N,B1a; C2a(ii),MAR
Eleocharis uniglumis (Link) Schultes,CR,N,B1a+2b(iv),MAR
Elodea canadensis Michaux,LC,EA,,AQU
Elodea nuttallii (Planch.) St John,LC,EA,,AQU
Elymus caninus (L.) L.,LC,N,,FOR
Elymus repens (L.) Gould,LC,N,,RUD
Epilobium angustifolium L.,LC,N,,FOR
Epilobium ciliatum Rafin.,LC,EA,,RUD
Epilobium collinum C.C. Gmel.,LC,N,,ROC
Epilobium dodonaei Vill.,LC,EA,,RUD
Epilobium hirsutum L.,LC,N,,MAR
Epilobium lanceolatum Seb. et Mauri,LC,N,,ROC
Epilobium montanum L.,LC,N,,FOR
Epilobium obscurum Schreb.,LC,N,,MAR
Epilobium palustre L.,VU,N,"B2b(iv,v)",MAR
Epilobium parviflorum Schreb.,LC,N,,MAR
Epilobium roseum Schreb.,LC,N,,RUD
Epilobium tetragonum L.,LC,N,,RUD
Epimedium alpinum L.,R,EA,,FOR
Epipactis atrorubens (Hoffm.) Besser,VU,N,"B2b(iv,v)",DRY
Epipactis helleborine (L.) Crantz,LC,N,,FOR
Epipactis leptochila (Godf.) Godf.,R,N,,FOR
Epipactis microphylla (Ehrh.) Swartz,R,N,,FOR
Epipactis muelleri Godf.,VU,N,"B2b(iv,v)",FOR
Epipactis palustris (L.) Crantz,EN,N,"B1a+2b(iv,v)",MAR
Epipactis purpurata Smith,VU,N,"B2b(iv,v)",FOR
Epipogium aphyllum Swartz,R,N,,FOR
Equisetum arvense L.,LC,N,,RUD
Equisetum fluviatile L.,LC,N,,MAR
Equisetum hyemale L.,LC,N,,FOR
Equisetum palustre L.,LC,N,,MAR
Equisetum sylvaticum L.,LC,N,,FOR
Equisetum telmateia Ehrh.,LC,N,,FOR
Eragrostis minor Host,LC,EA,,RUD
Erica tetralix L.,RE,N,,DRY
Erigeron acer L.,LC,N,,ROC
Erigeron annuus (L.) Pers.,LC,EA,,RUD
Eriophorum angustifolium Honck.,EN,N,"B1a+2b(iv,iv)",MAR
Eriophorum latifolium Hoppe,CR,N,B1a; D1,MAR
Eriophorum vaginatum L.,RE,N,,MAR
Erodium cicutarium (L.) L’ Hérit.,LC,N,,RUD
