Species,Redlist_cat,Status,Criteria,Habitat
Erophila verna (L.) Chevall.,LC,N,,ROC
Eryngium campestre L.,LC,N,,DRY
Erysimum cheiranthoides L.,LC,EA,,RUD
Eupatorium cannabinum L.,LC,N,,FRE
Euphorbia amygdaloides L.,LC,N,,FOR
Euphorbia cyparissias L.,LC,N,,DRY
Euphorbia dulcis L.,NT,N,,FOR
Euphorbia esula L.,EN,N,B1a+2b(iv),RUD
Euphorbia exigua L.,LC,N,,RUD
Euphorbia helioscopia L.,LC,N,,RUD
Euphorbia peplus L.,LC,N,,RUD
Euphorbia platyphyllos L.,LC,EA,,RUD
Euphorbia stricta L.,LC,N,,RUD
Euphrasia nemorosa (Pers.) Wallr.,EN,N,B1a+2b(iv),DRY
"Euphrasia officinalis (L.) subsp. rostkoviana (Hayne) F.Townsend",CR,N,"B2b(iv,v)",DRY
Euphrasia stricta Wolff ex Lehm.,EN,N,B1a+2b(iv)+2c(iv),DRY
Evonymus europaeus L.,LC,N,,FOR
Fagus sylvatica L.,LC,N,,FOR
Falcaria vulgaris Bernh.,EN,EA,B1a+2b(iv),RUD
Fallopia convolvulus (L.) Á. Löve,LC,N,,RUD
Fallopia dumetorum (L.) Holub,LC,N,,FOR
Fallopia japonica (Houtt.) Ronse Decraene,LC,EA,,FRE
Fallopia sachalinensis (F. Schmidt Petrop.) Ronse Decraene,LC,EA,,FRE
Festuca altissima All.,LC,N,,FOR
Festuca arundinacea Schreb.,LC,N,,MAR
Festuca filiformis Pourret,LC,N,,DRY
Festuca gigantea (L.) Vill.,LC,N,,FOR
Festuca heteropachys (St-Yves) Patzke ex Auquier,LC,N,,ROC
Festuca heterophylla Lam.,CR,N,B1a+2b(iv),FOR
Festuca lemanii Bast.,VU,N,"B2b(iv,v)",DRY
"Festuca longifolia Thuill. subsp. pseudocostei Auquier etKerguélen",EN,N,B1a+2b(v),ROC
Festuca pratensis Huds.,LC,N,,GRA
Festuca rubra L.,LC,N,,GRA
Filago arvensis L.,CR,N,B1a+2b(v),RUD
Filago lutescens Jord.,RE,N,,RUD
Filago minima (Smith) Pers.,EN,N,"B1a+2b(iv,v)",RUD
Filago pyramidata L.,RE,N,,RUD
Filago vulgaris Lam.,CR,N,B1a+2b(iv),RUD
Filipendula ulmaria (L.) Maxim.,LC,N,,MAR
Filipendula vulgaris Moench,CR,N,B1a+2b(iv),DRY
Fragaria moschata Weston,LC,N,,FOR
Fragaria vesca L.,LC,N,,FOR
Fragaria viridis Weston,LC,N,,DRY
Frangula alnus Mill.,LC,N,,FOR
Fraxinus excelsior L.,LC,N,,FOR
Fumaria densiflora DC.,RE,N,,RUD
Fumaria officinalis L.,LC,N,,RUD
Fumaria parviflora Lam.,CR,N,"B1a+2b(iv,v)",RUD
Fumaria vaillantii Loisel.,EN,N,"B1a+2b(iv,v)+2c(iv)",RUD
Gagea lutea (L.) Ker-Gawl.,VU,N,"B2b(iv,v)",FOR
Gagea pratensis (Pers.) Dum.,CR,N,B1a+2b(iv),RUD
Gagea villosa (Bieb.) Duby,CR,N,"B2b(iv,v)",RUD
Galeopsis angustifolia Ehrh. ex Hoffmann,LC,N,,ROC
Galeopsis bifida Boenningh.,LC,N,,RUD
Galeopsis ladanum L.,LC,N,,ROC
Galeopsis segetum Neck.,LC,N,,ROC
Galeopsis tetrahit L.,LC,N,,RUD
Galinsoga parviflora Cav.,LC,EA,,RUD
Galinsoga quadriradiata Ruiz et Pav.,LC,EA,,RUD
Galium aparine L.,LC,N,,RUD
Galium boreale L.,R,N,,ROC
Galium glaucum L.,RE,N,,DRY
Galium mollugo L.,LC,N,,GRA
Galium odoratum (L.) Scop.,LC,N,,FOR
Galium palustre L.,LC,N,,MAR
Galium pumilum Murray,VU,N,"B2b(iv,v)",DRY
Galium saxatile L.,LC,N,,DRY
Galium spurium L.,CR,N,B2b(iv),RUD
Galium sylvaticum L.,LC,N,,FOR
Galium tricornutum Dandy,RE,N,,RUD
Galium uliginosum L.,LC,N,,MAR
Galium verum L.,LC,N,,DRY
Genista anglica L.,CR,N,C2a(ii); D1,DRY
Genista germanica L.,RE,N,,DRY
Genista pilosa L.,LC,N,,ROC
Genista tinctoria L.,LC,N,,DRY
Genistella sagittalis (L.) Gams,LC,N,,DRY
Gentiana cruciata L.,RE,N,,DRY
Gentianella ciliata (L.) Borkh.,VU,N,"B2b(iv,v)",DRY
Gentianella germanica (Willd.) Börner,CR,N,"B1a+2b(iv,v)",DRY
Geranium columbinum L.,LC,N,,RUD
Geranium dissectum L.,LC,N,,RUD
Geranium molle L.,LC,N,,RUD
Geranium pratense L.,EN,N,B1a+2b(iv),MAR
Geranium pusillum L.,LC,N,,RUD
Geranium pyrenaicum Burm. f.,LC,N,,RUD
Geranium robertianum L.,LC,N,,FOR
Geranium rotundifolium L.,R,N,,ROC
Geranium sanguineum L.,R,N,,FOR
Geranium sylvaticum L.,VU,N,"B2b(iv,v)",FOR
Geum rivale L.,EN,N,B1a+2b(iv),FOR
Geum urbanum L.,LC,N,,MAR
Glebionis segetum (L.) Fourr.,LC,N,,RUD
Glechoma hederacea L.,LC,N,,GRA
Glyceria declinata Bréb.,LC,N,,FRE
Glyceria fluitans (L.) R. Brown,LC,N,,FRE
Glyceria maxima (Hartm.) Holmberg,VU,N,"B2b(iii,iv)",FRE
Glyceria notata Chevall.,LC,N,,FRE
Gnaphalium sylvaticum L.,LC,N,,FOR
Gnaphalium uliginosum L.,LC,N,,FRE
Goodyera repens (L.) R. Brown,LC,EA,,FOR
Gratiola officinalis L.,RE,N,,FRE
Groenlandia densa (L.) Fourr.,R,N,,AQU
Gymnadenia conopsea (L.) R. Brown,VU,N,"B2b(iii,iv)",DRY
Gymnadenia odoratissima (L.) L. C. M. Rich.,RE,N,,DRY
Gymnocarpium dryopteris (L.) Newm.,LC,N,,FOR
Gymnocarpium robertianum (Hoffmann) Newm.,LC,N,,ROC
Gypsophila muralis L.,CR,N,B1a+2b(iv),FRE
Hedera helix L.,LC,N,,FOR
Helianthemum nummularium (L.) Mill.,NT,N,,DRY
Helianthus tuberosus L.,LC,EA,,RUD
Helichrysum arenarium (L.) Moench,RE,N,,DRY
Helleborus foetidus L.,VU,N,B1a+2b(iv),FOR
Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn.,LC,N,,FOR
Heracleum mantegazzianum Somm. et Lev.,LC,EA,,RUD
Heracleum sphondylium L.,LC,N,,GRA
Herminium monorchis (L.) R. Brown,RE,N,,DRY
Herniaria glabra L.,NT,N,,RUD
Herniaria hirsuta L.,RE,N,,RUD
Hesperis matronalis L.,LC,EA,,FOR
Hieracium bauhinii Schultes ex Besser,LC,N,,ROC
Hieracium caespitosum Dum.,NE,EA,,RUD
Hieracium diaphanoides Lindeb.,NE,N,,ROC
Hieracium glaucinum Jord.,LC,N,,ROC
Hieracium lachenalii C. C. Gmel.,LC,N,,FOR
Hieracium lactucella Wallr.,EN,N,"B1a+2b(iv,v)",DRY
Hieracium laevigatum Willd.,LC,N,,FOR
Hieracium maculatum Schrank,NE,N,,ROC
Hieracium murorum L.,LC,N,,FOR
Hieracium pilosella L.,LC,N,,DRY
Hieracium piloselloides Vill.,R,EA,,ROC
Hieracium sabaudum L.,LC,N,,FOR
Hieracium schmidtii Tausch,NE,N,,ROC
Hieracium umbellatum L.,LC,N,,FOR
Hieracium wiesbaurianum Uechtr. ex Baenitz,NE,N,,ROC
Hieracium zizianum Tausch,NE,N,,ROC
Hierochloe odorata (L.) Beauv.,RE,N,,MAR
Himantoglossum hircinum (L.) Spreng.,EN,N,B1a+2b(iv)+2c(iv),DRY
Hippocrepis comosa L.,LC,N,,DRY
Hippocrepis emerus (L.) Lassen,R,EA,,FOR
Hippuris vulgaris L.,R,EA,,AQU
Holcus lanatus L.,LC,N,,GRA
Holcus mollis L.,LC,N,,FOR
Holosteum umbellatum L.,EN,N,"B1a+2b(iv,v)",RUD
Hordelymus europaeus (L.) Harz,LC,N,,FOR
Hordeum jubatum L.,R,EA,,RUD
Hordeum murinum L.,LC,N,,RUD
Hordeum secalinum Schreb.,VU,N,"B2b(iii,iv)",GRA
Humulus lupulus L.,LC,N,,FOR
Huperzia selago (L.) Bernh. ex Schrank et Mart.,CR,N,"A1a  B1a+2b(v); C2a(ii);D1",ROC
Hydrocharis morsus-ranae L.,LC,EA,,AQU
Hydrocotyle vulgaris L.,RE,N,,FRE
Hymenophyllum tunbrigense (L.) Smith,EN,N,A1a  C2a(ii); D1,ROC
Hyoscyamus niger L.,LC,N,,RUD
Hypericum dubium Leers,LC,N,,MAR
Hypericum elodes L.,RE,N,,MAR
Hypericum hirsutum L.,LC,N,,FOR
Hypericum humifusum L.,LC,N,,FOR
Hypericum maculatum Crantz,LC,N,,MAR
Hypericum montanum L.,LC,N,,FOR
Hypericum perforatum L.,LC,N,,DRY
Hypericum pulchrum L.,LC,N,,FOR
Hypericum tetrapterum Fries,LC,N,,MAR
Hypochoeris glabra L.,RE,N,,DRY
Hypochoeris maculata L.,RE,N,,DRY
Hypochoeris radicata L.,LC,N,,DRY
Iberis amara L.,NT,N,,ROC
Ilex aquifolium L.,LC,N,,FOR
Illecebrum verticillatum L.,CR,N,C2a(ii); D1,FRE
Impatiens glandulifera Royle,LC,EA,,FRE
Impatiens noli-tangere L.,LC,N,,FOR
Impatiens parviflora DC.,LC,EA,,FOR
Inula britannica L.,RE,N,,FRE
Inula conyzae (Griesselich) Meikle,LC,N,,DRY
Inula salicina L.,NT,N,,DRY
Iris pseudacorus L.,VU,N,B2b(iv),MAR
Isatis tinctoria L.,EN,EA,B1a+2b(iv),RUD
Isolepis setacea (L.) R. Brown,VU,N,B2b(iv),FRE
Jasione montana L.,VU,N,"B2b(iii,iv)",DRY
Juglans regia L.,LC,EA,,FOR
Juncus acutiflorus Ehrh. ex Hoffmann,LC,N,,MAR
Juncus articulatus L.,LC,N,,MAR
Juncus bufonius L.,LC,N,,FRE
Juncus bulbosus L.,LC,N,,MAR
Juncus capitatus Weig.,RE,N,,FRE
Juncus compressus Jacq.,VU,N,"B2b(iii,iv)",MAR
Juncus conglomeratus L.,LC,N,,MAR
Juncus effusus L.,LC,N,,MAR
Juncus filiformis L.,CR,N,B1a  C2a(ii); D1,MAR
Juncus inflexus L.,LC,N,,MAR
Juncus squarrosus L.,CR,N,B1a+2b(iv),MAR
Juncus subnodulosus Schrank,EN,N,B1a+2b(iv),MAR
Juncus tenuis Willd.,LC,EA,,FRE
Juniperus communis L.,EN,N,B1a+2b(iv)+2b(v),DRY
Kickxia elatine (L.) Dum.,EN,N,"B2b(iv,v)",RUD
Kickxia spuria (L.) Dum.,EN,N,"B2b(iv,v)",RUD
Knautia arvensis (L.) Coulter,LC,N,,DRY
Koeleria albescens DC.,LC,N,,DRY
Koeleria macrantha (Ledeb.) Schultes,R,N,,DRY
Koeleria pyramidata (Lam.) Beauv.,LC,N,,DRY
Laburnum anagyroides Med.,R,EA,,FOR
Lactuca perennis L.,R,N,,DRY
Lactuca saligna L.,CR,N,B1a+2b(iv),RUD
Lactuca serriola L.,LC,N,,RUD
Lactuca virosa L.,NT,N,,RUD
Lamium album L.,LC,N,,RUD
Lamium amplexicaule L.,LC,N,,RUD
Lamium galeobdolon (L.) L.,LC,N,,FOR
Lamium maculatum L.,LC,N,,FOR
Lamium purpureum L.,LC,N,,RUD
Lapsana communis L.,LC,N,,FOR
Lapsana communis L. subsp. intermedia (Bieb.) Hayek,R,EA,,ROC
Larix decidua Mill.,LC,EA,,FOR
Laserpitium latifolium L.,R,N,,FOR
Lathraea squamaria L.,R,N,,FOR
Lathyrus aphaca L.,LC,N,,RUD
Lathyrus hirsutus L.,CR,N,B1a; C2a(ii),RUD
Lathyrus linifolius (Reichard) Bässler,LC,N,,FOR
Lathyrus niger (L.) Bernh.,R,N,,FOR
Lathyrus nissolia L.,CR,N,B1a+2b(iv),RUD
Lathyrus pratensis L.,LC,N,,GRA
Lathyrus sylvestris L.,NT,N,,FOR
Lathyrus tuberosus L.,LC,N,,RUD
Leersia oryzoides (L.) Swartz,CR,N,B1a+2b(v),FRE
Legousia speculum-veneris (L.) Chaix,EN,N,"B1a+2b(iv,v)+2c(iv)",RUD
Lemna gibba L.,LC,N,,AQU
Lemna minor L.,LC,N,,AQU
Lemna trisulca L.,VU,N,B1a+2b(iv),AQU
Leontodon autumnalis L.,LC,N,,GRA
Leontodon hispidus L.,LC,N,,GRA
Leontodon saxatilis Lam.,NT,N,,ROC
Leonurus cardiaca L.,CR,N,B1a+2b(iv),RUD
Lepidium campestre (L.) R. Brown,LC,N,,RUD
Lepidium densiflorum Schrad.,LC,EA,,RUD
Lepidium latifolium L.,VU,N,B1a+2b(iv),FRE
Lepidium ruderale L.,LC,N,,RUD
Leucanthemum vulgare Lam.,LC,N,,DRY
Ligustrum vulgare L.,LC,N,,FOR
Limodorum abortivum (L.) Swartz,RE,N,,FOR
Limosella aquatica L.,R,N,,FRE
Linaria arvensis (L.) Desf.,RE,N,,RUD
Linaria repens (L.) Mill.,EN,N,"B2b(iv,v)",ROC
Linaria supina (L.) Chazelles,DD,N,,RUD
Linaria vulgaris Mill.,LC,N,,RUD
Linum austriacum L. subsp. austriacum,CR,EA,B1a,DRY
Linum catharticum L.,LC,N,,DRY
Linum tenuifolium L.,EN,N,"B2b(iv,v)",DRY
Listera ovata (L.) R. Brown,LC,N,,FOR
Lithospermum arvense L.,EN,N,"B1a+2b(iv,v)+2c(iv)",RUD
Lithospermum officinale L.,EN,N,B1a+2b(iv),FOR
Lithospermum purpurocaeruleum L.,VU,N,B1a+2b(iv),FOR
Lolium multiflorum Lam.,LC,EA,,GRA
Lolium perenne L.,LC,N,,GRA
Lolium remotum Schrank,RE,EA,,RUD
Lolium temulentum L.,RE,EA,,RUD
Lonicera periclymenum L.,LC,N,,FOR
Lonicera xylosteum L.,LC,N,,FOR
Lotus corniculatus L.,LC,N,,DRY
Lotus pedunculatus Cav.,LC,N,,MAR
Lunaria rediviva L.,R,N,,FOR
Luzula campestris (L.) DC.,LC,N,,DRY
Luzula luzuloides (Lam.) Dandy et Wilmott,LC,N,,FOR
Luzula multiflora (Ehrh.) Lej.,LC,N,,DRY
Luzula pilosa (L.) Willd.,LC,N,,FOR
Luzula sylvatica (Huds.) Gaudin,LC,N,,FOR
Lychnis flos-cuculi L.,LC,N,,MAR
Lychnis viscaria L.,VU,N,"B2b(iv,v)",ROC
Lycium barbarum L.,R,EA,,ROC
Lycopodiella inundata (L.) Holub,RE,N,,FRE
Lycopodium annotinum L.,R,N,,FOR
Lycopodium clavatum L.,CR,N,B1a+2b(iv); D1,DRY
Lycopus europaeus L.,LC,N,,MAR
Lysimachia nemorum L.,LC,N,,FOR
Lysimachia nummularia L.,LC,N,,GRA
Lysimachia vulgaris L.,LC,N,,MAR
Lythrum hyssopifolia L.,CR,N,"B1a+2b(iv,v)",FRE
Lythrum portula (L.) D.A. Webb,VU,N,"B1a+2b(iii,iv)+2b(v)",FRE
Lythrum salicaria L.,LC,N,,MAR
Mahonia aquifolium (Pursh) Nutt.,LC,EA,,FOR
Maianthemum bifolium (L.) F. W. Schmidt,LC,N,,FOR
Malus sylvestris (L.) Mill.,LC,N,,FOR
Malva alcea L.,VU,N,B2b(iv),RUD
Malva moschata L.,LC,N,,DRY
Malva neglecta Wallr.,LC,N,,RUD
Malva sylvestris L.,VU,N,"B2b(iii,iv)",RUD
Marrubium vulgare L.,RE,EA,,RUD
Matricaria discoidea DC.,LC,N,,RUD
Matricaria maritima L. subsp. inodora (C. Koch) Soó,LC,N,,RUD
Matricaria recutita L.,LC,N,,RUD
Medicago arabica (L.) Huds.,R,N,,RUD
Medicago falcata L.,LC,N,,DRY
Medicago lupulina L.,LC,N,,DRY
Medicago minima (L.) L.,EN,N,"B1a+2b(iv,v)",DRY
Medicago polymorpha L.,LC,N,,RUD
Melampyrum arvense L.,EN,N,"B1a+2b(iv,v)+2c(iv)",DRY
Melampyrum cristatum L.,EN,N,"B1a+2b(iv,v)+2c(iv)",FOR
Melampyrum pratense L.,LC,N,,FOR
Melica ciliata L.,R,N,,ROC
Melica nutans L.,LC,N,,FOR
Melica uniflora Retz.,LC,N,,FOR
Melilotus albus Med.,LC,EA,,RUD
Melilotus altissimus Thuill.,LC,N,,RUD
Melilotus officinalis Lam.,LC,EA,,RUD
Mentha aquatica L.,LC,N,,MAR
Mentha arvensis L.,LC,N,,MAR
Mentha longifolia L.,R,N,,FRE
Mentha pulegium L.,CR,N,B1a,FRE
Mentha spicata L.,R,EA,,RUD
Mentha suaveolens Ehrh.,R,N,,FRE
Menyanthes trifoliata L.,VU,N,"B2b(iii,iv)",MAR
Mercurialis annua L.,LC,N,,RUD
Mercurialis perennis L.,LC,N,,FOR
Mespilus germanica L.,R,EA,,FOR
Meum athamanticum Jacq.,CR,N,B1a+2b(iv); D1,DRY
Milium effusum L.,LC,N,,FOR
Mimulus moschatus Dougl. ex Lindl.,LC,EA,,MAR
Minuartia hybrida (Vill.) Schischkin,VU,N,"B2b(iii,iv)",DRY
Misopates orontium (L.) Rafin.,EN,N,"B2b(iv,v)",RUD
Moehringia trinervia (L.) Clairv.,LC,N,,FOR
"Moenchia erecta (L.) Gaertn., B. Mey. et Scherb.",RE,N,,DRY
Molinia caerulea (L.) Moench,LC,N,,MAR
Moneses uniflora (L.) A. Gray,RE,EA,,FOR
Monotropa hypopitys L.,LC,N,,FOR
Montia fontana L.,VU,N,"B2b(iv,v)",AQU
Montia minor C. C. Gmel.,RE,N,,FRE
Mycelis muralis (L.) Dum.,LC,N,,FOR
Myosotis arvensis (L.) Hill,LC,N,,RUD
Myosotis cespitosa C. F. Schultz,R,N,,MAR
Myosotis discolor Pers.,EN,N,"B2b(iv,v)",DRY
Myosotis nemorosa Besser,LC,N,,MAR
Myosotis ramosissima Rochel ex Schultes,NT,N,,DRY
Myosotis scorpioides L.,LC,N,,MAR
Myosotis stricta Link ex Roem. et Schult.,CR,N,B1a,DRY
Myosotis sylvatica Ehrh. ex Hoffmann,LC,N,,FOR
Myosoton aquaticum (L.) Moench,LC,N,,MAR
Myosurus minimus L.,CR,N,"B2b(iv,v)",RUD
Myriophyllum alterniflorum DC.,R,N,,AQU
Myriophyllum spicatum L.,LC,N,,AQU
Myriophyllum verticillatum L.,VU,N,B1a,AQU
Myrrhis odorata (L.) Scop.,LC,EA,,RUD
Najas marina L.,VU,N,B2b(iii),AQU
Narcissus pseudonarcissus L.,VU,N,B1a+2b(iv),FOR
Nardurus maritimus (L.) Murb.,R,N,,DRY
Nardus stricta L.,EN,N,"B1a+2b(iv,v); C2a",DRY
Nasturtium officinale R. Brown,EN,N,B2b(iv),MAR
"Neotinea ustulata (L.) R.M. Bateman, Pridgeon et M. W.Chase",RE,N,,DRY
Neottia nidus-avis (L.) L. C. M. Rich.,LC,N,,FOR
Nepeta cataria L.,RE,N,,RUD
Neslia paniculata (L.) Desv.,RE,N,,RUD
Nuphar lutea (L.) Smith,R,N,,AQU
Nymphaea alba L.,R,EA,,AQU
Nymphoides peltata (S. G. Gmel.) O. Kuntze,RE,N,,AQU
Odontites vernus (Bellardi) Dum.,EN,N,"B2b(iv,v)",RUD
Oenanthe aquatica (L.) Poiret,VU,N,"B2b(iii,iv)",MAR
Oenanthe fistulosa L.,CR,N,"B2b(iv,v)",MAR
Oenanthe peucedanifolia Pollich,CR,N,B1a+2b(iv),MAR
Oenothera biennis L.,LC,EA,,RUD
Oenothera glazioviana Michelli,LC,EA,,RUD
Oenothera parviflora L.,LC,EA,,RUD
Onobrychis viciifolia Scop.,LC,N,,DRY
Ononis repens L.,LC,N,,DRY
Ononis spinosa L.,CR,N,"B1a+2b(iv,v)",DRY
Onopordum acanthium L.,EN,EA,B1a+2b(iv),RUD
Ophioglossum vulgatum L.,EN,N,B1a+2b(iv),MAR
Ophrys apifera Huds.,EN,N,"B2b(iv,v)",DRY
Ophrys fuciflora (F.W. Schmidt) Moench,EN,N,"B2b(iv,v)",DRY
Ophrys insectifera L.,EN,N,"B2b(iv,v)",DRY
Ophrys sphegodes Mill.,CR,N,"B2b(v,iv); D1",DRY
Orchis anthropophora (L.) All.,EN,N,"B2b(iii,iv)",DRY
Orchis coriophora L.,RE,N,,MAR
Orchis mascula (L.) L.,VU,N,"B2b(iii,iv)",DRY
Orchis militaris L.,VU,N,"B2b(iii,iv)",DRY
Orchis morio L.,EN,N,"B1a+2b(iv,v)",DRY
Orchis purpurea Huds.,VU,N,B2b(iv),FOR
Orchis simia Lam.,RE,N,,DRY
Oreopteris limbosperma (Bellardi ex All.) Holub,VU,N,B1a+2b(iv),FOR
Origanum vulgare L.,LC,N,,FOR
Ornithogalum pyrenaicum L.,R,N,,FOR
Ornithogalum umbellatum L.,LC,EA,,RUD
Ornithopus perpusillus L.,VU,N,"B2b(iv,v)",ROC
Orobanche alba Steph. ex Willd.,EN,N,B1a+2b(iv),DRY
Orobanche caryophyllacea Smith,CR,N,"B1a+2b(iii,iv)",DRY
Orobanche elatior Sutton,RE,N,,DRY
Orobanche hederae Duby,R,N,,FOR
Orobanche lutea Baumg.,R,N,,DRY
Orobanche minor Smith,RE,N,,RUD
Orobanche picridis F. W. Schultz,RE,N,,RUD
Orobanche purpurea Jacq.,EN,N,"B2b(iv,v)",DRY
Orobanche ramosa L.,RE,N,,RUD
Orobanche rapum-genistae Thuill.,EN,N,"B1a+2b(iv,v)",DRY
Orobanche teucrii Holandre,CR,N,B1a+2b(iii),DRY
Orthilia secunda (L.) House,CR,EA,B1a+2b(iv),FOR
Osmunda regalis L.,CR,N,C2a(ii); D1,FOR
Oxalis acetosella L.,LC,N,,FOR
Oxalis corniculata L.,R,EA,,RUD
Oxalis fontana Bunge,LC,EA,,RUD
Papaver argemone L.,EN,N,"B2b(iv,v)+2c(iv)",RUD
Papaver dubium L.,VU,N,"B2b(iv,v)",RUD
Papaver rhoeas L.,NT,N,,RUD
Parietaria judaica L.,R,N,,ROC
Parietaria officinalis L.,RE,EA,,ROC
Paris quadrifolia L.,LC,N,,FOR
Parnassia palustris L.,CR,N,A1a  C2a(ii); D1,MAR
Pastinaca sativa L.,LC,N,,RUD
Pastinaca sativa L. subsp. urens (Req. ex Godr.) Čelak,R,EA,,RUD
Pedicularis palustris L.,EN,N,"B1a+2b(iv,v)+2c(iv)",MAR
Pedicularis sylvatica L.,CR,N,B2b(iii)+2b(v); C2a(ii),DRY
Persicaria amphibia (L.) S. F. Gray,LC,N,,AQU
Persicaria bistorta (L.) Samp.,LC,N,,MAR
Persicaria hydropiper (L.) Spach.,LC,N,,MAR
Persicaria lapathifolia (L.) Delarbre,LC,N,,RUD
"Persicaria maculosa S. F. Gray, nom. conserv. propos.",LC,N,,RUD
Persicaria minor (Huds.) Opiz,EN,N,"B2b(iv,v)",FRE
Persicaria mitis (Schrank),EN,N,"B1a+2b(iv,v)",FRE
"Petasites hybridus (L.) Gaertn., B. Mey. et Scherb.",LC,N,,FRE
Petrorhagia prolifera (L.) P. W. Ball et Heywood,LC,N,,DRY
Peucedanum carvifolia Vill.,CR,N,B2b(iii)+2b(iv),MAR
Peucedanum cervaria (L.) Lapeyr.,VU,N,B2b(iii)+2b(iv),FOR
Phalaris arundinacea L.,LC,N,,MAR
Phegopteris connectilis (Michaux) Watt,LC,N,,FOR
Phleum nodosum L.,LC,N,,DRY
Phleum phleoides (L.) Karst.,CR,N,B1a+2b(iv),DRY
Phleum pratense L.,LC,N,,GRA
Phragmites australis (Cav.) Steud.,LC,N,,MAR
Phyteuma nigrum F. W. Schmidt,LC,N,,FOR
Phyteuma spicatum L.,LC,N,,FOR
Picea abies (L.) Karst.,LC,EA,,FOR
Picris hieracioides L.,LC,N,,RUD
Pimpinella major (L.) Huds.,LC,N,,GRA
Pimpinella saxifraga L.,LC,N,,DRY
Pinus nigra Arnold,LC,EA,,FOR
Pinus sylvestris L.,CR,N,B1a; C2a(ii),FOR
Plantago lanceolata L.,LC,N,,GRA
Plantago major L.,LC,N,,RUD
Plantago media L.,LC,N,,DRY
Platanthera bifolia (L.) L. C. M. Rich.,VU,N,B2b(iv),FOR
Platanthera chlorantha (Cust.) Reichenb.,VU,N,B2b(iv),FOR
Poa annua L.,LC,N,,RUD
Poa bulbosa L.,R,N,,DRY
Poa chaixii Vill.,LC,N,,FOR
Poa compressa L.,LC,N,,ROC
Poa nemoralis L.,LC,N,,FOR
Poa palustris L.,VU,N,B1a+2b(iv),MAR
