Species,Redlist_cat,Status,Criteria,Habitat
Poa pratensis L.,LC,N,,GRA
Poa trivialis L.,LC,N,,GRA
Podospermum laciniatum (L.) DC.,RE,N,,RUD
Polemonium caeruleum L.,R,EA,,MAR
Polygala amarella Crantz,CR,N,B1a+2b(iv)+2b(iii),DRY
Polygala calcarea F. W. Schultz,VU,N,"B2b(iii,iv)",DRY
Polygala comosa Schkuhr,LC,N,,DRY
Polygala serpyllifolia Hose,VU,N,B1a+2b(iv),DRY
Polygala vulgaris L.,LC,N,,DRY
Polygonatum multiflorum (L.) All.,LC,N,,FOR
Polygonatum odoratum (Mill.) Druce,NT,N,,FOR
Polygonatum verticillatum (L.) All.,LC,N,,FOR
Polygonum aviculare L.,LC,N,,RUD
Polypodium interjectum Shivas,LC,N,,FOR
Polypodium vulgare L.,LC,N,,FOR
Polypodium ×mantoniae Rothm.,R,N,,FOR
Polystichum aculeatum (L.) Roth,NT,N,,FOR
Polystichum lonchitis (L.) Roth,EN,N,B1a+2b(iv),FOR
Polystichum setiferum (Forssk.) Woynar,R,N,,FOR
Polystichum ×bicknellii (Christ) Hahne,R,N,,FOR
Populus tremula L.,LC,N,,FOR
Potamogeton alpinus Balb.,RE,N,,AQU
Potamogeton berchtoldii Fieb.,LC,N,,AQU
Potamogeton crispus L.,LC,N,,AQU
Potamogeton lucens L.,R,N,,AQU
Potamogeton natans L.,LC,N,,AQU
Potamogeton nodosus Poiret,LC,EA,,AQU
Potamogeton obtusifolius Mert. et Koch,R,N,,AQU
Potamogeton pectinatus L.,LC,N,,AQU
Potamogeton perfoliatus L.,EN,N,B1a+2b(iv),AQU
Potamogeton polygonifolius Pourr.,EN,N,B1a+2b(iv),AQU
Potamogeton pusillus L.,LC,N,,AQU
Potamogeton trichoides Cham. et Schlecht.,RE,N,,AQU
Potentilla anserina L.,LC,N,,RUD
Potentilla argentea L.,LC,N,,DRY
Potentilla erecta (L.) Räuschel,NT,N,,DRY
"Potentilla incana P. Gaertn., B. Mey. et Scherb",CR,N,C2a(ii); D1,ROC
Potentilla leucopolitana P. J. Muell.,RE,N,,ROC
Potentilla neumanniana Reichenb.,LC,N,,DRY
Potentilla recta L.,LC,EA,,RUD
Potentilla reptans L.,LC,N,,RUD
Potentilla rupestris L.,EN,N,"B2b(iv,v)",ROC
Potentilla sterilis (L.) Garcke,LC,N,,FOR
Potentilla supina L.,R,N,,FRE
Prenanthes purpurea L.,RE,N,,FOR
Primula elatior (L.) Hill,LC,N,,FOR
Primula veris L.,VU,N,"B2b(iv,v)",DRY
Prunella grandiflora (L.) Scholler,CR,N,B2b(iv),DRY
Prunella laciniata (L.) L.,EN,N,"B2b(iv,v)",DRY
Prunella vulgaris L.,LC,N,,GRA
Prunus avium (L.) L.,LC,N,,FOR
Prunus mahaleb L.,CR,N,B2b(iv),FOR
Prunus padus L.,LC,N,,FOR
Prunus spinosa L.,LC,N,,FOR
Pseudofumaria lutea (L.) Borkh.,LC,EA,,ROC
Pteridium aquilinum (L.) Kuhn,LC,N,,FOR
Puccinellia distans (L.) Parl.,LC,EA,,RUD
Pulicaria dysenterica (L.) Bernh.,VU,N,"B2b(iii,iv)",MAR
Pulicaria vulgaris Gaertn.,RE,N,,FRE
Pulmonaria montana Lej.,VU,N,B1a+2b(iv),FOR
Pulmonaria obscura Dum.,LC,N,,FOR
Pulsatilla vulgaris Mill.,EN,N,"B1a+B2b(iv,v)",DRY
Pyrola media Swartz,R,N,,FOR
Pyrola minor L.,LC,N,,FOR
Pyrola rotundifolia L.,NT,N,,FOR
Pyrus communis subsp. pyraster (L.) Ehrh.,LC,N,,FOR
Quercus petraea (Mattuschka) Lieblein,LC,N,,FOR
Quercus pubescens Willd.,EN,N,B1a,FOR
Quercus robur L.,LC,N,,FOR
Radiola linoides Roth,RE,N,,FRE
Ranunculus acris L.,LC,N,,GRA
Ranunculus aquatilis L.,CR,N,C2a(ii),AQU
Ranunculus arvensis L.,EN,N,"B2b(iv,v)",RUD
Ranunculus auricomus L.,LC,N,,FOR
Ranunculus bulbosus L.,LC,N,,DRY
Ranunculus circinatus Sibth.,R,N,,AQU
Ranunculus ficaria L.,LC,N,,FOR
Ranunculus flammula L.,LC,N,,MAR
Ranunculus fluitans Lam.,VU,N,B2b(iv),AQU
Ranunculus hederaceus L.,CR,N,B2b(iv),MAR
Ranunculus lingua L.,RE,N,,FRE
Ranunculus peltatus Schrank,VU,N,B1a+2b(iv),AQU
Ranunculus penicillatus (Dum.) Bab.,LC,N,,AQU
Ranunculus platanifolius L.,EN,N,"B1a+2b(iv,v); C2a(i); D1",FOR
Ranunculus repens L.,LC,N,,MAR
Ranunculus sardous Crantz,EN,N,"B2b(iv,v)",RUD
Ranunculus sceleratus L.,EN,N,"B2b(iv,v)",MAR
Ranunculus serpens Schrank,LC,N,,FOR
Ranunculus trichophyllus Chaix,VU,N,B1a+2b(iv),AQU
Raphanus raphanistrum L.,LC,N,,RUD
Reseda lutea L.,LC,N,,RUD
Reseda luteola L.,LC,N,,RUD
Rhamnus cathartica L.,LC,N,,FOR
Rhinanthus alectorolophus (Scop.) Pollich,EN,N,"B1a+2b(iv,v)",DRY
Rhinanthus angustifolius C. C. Gmel.,CR,N,B1a+2b(iv),DRY
Rhinanthus minor L.,NT,N,,MAR
Rhynchospora alba (L.) Vahl.,RE,N,,MAR
Ribes alpinum L.,LC,N,,FOR
Ribes nigrum L.,LC,N,,FOR
Ribes rubrum L.,LC,N,,FOR
Ribes uva-crispa L.,LC,N,,FOR
Rorippa amphibia (L.) Besser,LC,N,,FRE
Rorippa palustris (L.) Besser,LC,N,,FRE
Rorippa stylosa (Pers.) Mansf. et Rothm.,CR,N,B2b(v); C2a(ii); D1,DRY
Rorippa sylvestris (L.) Besser,LC,N,,FRE
Rosa arvensis Huds.,LC,N,,FOR
Rosa canina L.,LC,N,,FOR
Rosa micrantha Borrer ex Smith,CR,N,C2a(ii),FOR
Rosa rubiginosa L.,VU,N,"B2b(iv,v)",DRY
Rosa spinosissima L.,EN,N,B1a+2b(iv),DRY
Rosa stylosa Desv.,CR,N,C2a(ii),FOR
Rosa tomentosa Smith,LC,N,,FOR
Rosa villosa L.,CR,N,"B2b(iii,iv)",FOR
Rubus adornatus P. J. Mueller ex Wirtgen,NE,N,,FOR
Rubus arduennensis Libert ex Lejeune,NE,N,,FOR
Rubus armeniacus Focke,NE,N,,FOR
Rubus baruthicus Weber,NE,N,,FOR
Rubus bertramii G. Braun,NE,N,,FOR
Rubus bifrons Vest,NE,N,,FOR
Rubus bonus-henricus Matzke-Hajek,NE,N,,FOR
Rubus britannicus W. M. Rogers,NE,N,,FOR
Rubus caesius L.,NE,N,,FOR
Rubus camptostachys G. Braun,NE,N,,FOR
Rubus canescens DC.,NE,N,,FOR
Rubus condensatus P. J. Mueller,NE,N,,FOR
Rubus cuspidatus P. J. Mueller,NE,N,,FOR
Rubus dechenii Wirtgen,NE,N,,FOR
Rubus eifeliensis Wirtgen,NE,N,,FOR
Rubus erubescens Wirtgen,NE,N,,FOR
Rubus fimbriifolius P. J. Mueller et Wirtgen,NE,N,,FOR
Rubus flexuosus P. J. Mueller et Lefèvre,NE,N,,FOR
Rubus fruticosus L.,NE,N,,FOR
Rubus fuscus Weihe,NE,N,,FOR
Rubus grabowskii Weihe in Guenther et al.,NE,N,,FOR
Rubus gracilis J. et C. Presl,NE,N,,FOR
Rubus hadracanthos G. Braun,NE,N,,FOR
Rubus hostilis P. J. Mueller et Wirtgen,NE,N,,FOR
Rubus idaeus L.,NE,N,,FOR
Rubus langei Jensen ex Frid. et Gelert,NE,N,,FOR
Rubus loehrii Wirtgen,NE,N,,FOR
Rubus macrophyllus Weihe et Nees,NE,N,,FOR
Rubus melanoxylon P. J. Mueller et Wirtgen,NE,N,,FOR
Rubus micans Godron et Grenier,NE,N,,FOR
Rubus montanus Libert ex Lej.,NE,N,,FOR
Rubus nemorosus Hayne et Wildenow,NE,N,,FOR
Rubus nessensis W. Hall subsp. scissoides H. E. Weber,NE,N,,FOR
Rubus neumannianus H. E. Weber et H. Vannerom,NE,N,,FOR
Rubus oblongifolius P. J. Mueller et Wirtgen,NE,N,,FOR
Rubus omalodontos P. J. Mueller et Wirtgen,NE,N,,FOR
Rubus oreades P. J. Mueller et Wirtgen,NE,N,,FOR
Rubus orthostachys G. Braun,NE,N,,FOR
Rubus pannosus P. J. Mueller et Wirtgen,NE,N,,FOR
Rubus pedemontanus Pinkwart,NE,N,,FOR
Rubus perperus H. E. Weber,NE,N,,FOR
Rubus praecox Bertol.,NE,N,,FOR
Rubus pyramidalis Kaltenbach,NE,N,,FOR
Rubus radula Weihe,NE,N,,FOR
Rubus raduliformis Sudre,NE,N,,FOR
Rubus rosaceus Weihe,NE,N,,FOR
Rubus rudis Weihe,NE,N,,FOR
Rubus saxatilis L.,NE,N,,FOR
Rubus saxicola P. J. Mueller,NE,N,,FOR
Rubus sprengelii Weihe,NE,N,,FOR
Rubus steracanthos P. J. Mueller ex Boulay,NE,N,,FOR
Rubus sulcatus Vest,NE,N,,FOR
Rubus vestitus Weihe,NE,N,,FOR
Rubus viscosus Weihe ex Lejeune et Courtois,NE,N,,FOR
Rumex acetosa L.,LC,N,,GRA
Rumex acetosella L.,LC,N,,DRY
Rumex conglomeratus Murray,LC,N,,RUD
Rumex crispus L.,LC,N,,RUD
Rumex hydrolapathum Huds.,EN,N,B1a+2b(iv),FRE
Rumex maritimus L.,EN,N,"B2b(iv,v)",FRE
Rumex obtusifolius L.,LC,N,,GRA
Rumex sanguineus L.,LC,N,,FOR
Rumex scutatus L.,EN,EA,B1a+2b(iv),ROC
Sagina apetala Ard.,EN,N,"B2b(iv,v)+2c(iv)",ROC
Sagina nodosa (L.) Fenzl,RE,N,,MAR
Sagina procumbens L.,LC,N,,ROC
Sagittaria sagittifolia L.,EN,N,B1a+2b(iv),FRE
Salix alba L.,LC,N,,FRE
Salix aurita L.,LC,N,,MAR
Salix caprea L.,LC,N,,FOR
Salix cinerea L.,LC,N,,MAR
Salix fragilis L.,LC,N,,FRE
Salix pentandra L.,LC,EA,,FRE
Salix purpurea L. var. lambertiana (Smith) Koch,LC,N,,FOR
Salix repens L.,CR,N,"B2b(iii,iv)",MAR
Salix triandra L.,LC,N,,FRE
Salix viminalis L.,LC,N,,FRE
Salvia pratensis L.,EN,N,"B2b(iv,v)",DRY
Salvia verticillata L.,EN,EA,B2b(iv),RUD
Sambucus ebulus L.,LC,N,,FOR
Sambucus nigra L.,LC,N,,FOR
Sambucus racemosa L.,LC,N,,FOR
Sanguisorba minor Scop.,LC,N,,DRY
Sanguisorba officinalis L.,EN,N,"B1a+2b(iv,v)",MAR
Sanicula europaea L.,LC,N,,FOR
Saponaria officinalis L.,LC,N,,RUD
Saxifraga granulata L.,LC,N,,DRY
"Saxifraga rosacea Moench subsp. sponhemica (C. C. Gmel.)D. A. Webb",R,N,,ROC
Saxifraga tridactylites L.,NT,N,,ROC
Scabiosa columbaria L.,LC,N,,DRY
"Scabiosa columbaria L. subsp. pratensis (Jord.) J.Duvigneaud et Lambinon",CR,N,"B2b(iii,iv)",DRY
Scandix pecten-veneris L.,CR,N,"B2b(iii,iv)",RUD
Schoenoplectus lacustris (L.) Palla,EN,N,B1a+2b(iv),FRE
Schoenoplectus tabernaemontani (C. C. Gmel.) Palla,CR,N,B1a+2b(iii),MAR
Scilla bifolia L.,VU,N,"B1a+2b(iv,v)",FOR
Scirpus sylvaticus L.,LC,N,,MAR
Scleranthus annuus L.,LC,N,,RUD
Scleranthus perennis L.,LC,N,,ROC
Sclerochloa dura (L.) Beauv.,RE,EA,,RUD
Scorzonera humilis L.,EN,N,"B2b(iv,v)",MAR
Scrophularia auriculata L.,CR,N,"B2b(iii,iv)",FRE
Scrophularia nodosa L.,LC,N,,FOR
Scrophularia umbrosa Dum.,VU,N,B2b(iv),FRE
Scutellaria galericulata L.,LC,N,,MAR
Scutellaria minor Huds.,CR,N,B1a+2b(iii); C2a(i),MAR
Securigera varia (L.) Lassen,LC,EA,,RUD
Sedum acre L.,LC,N,,ROC
Sedum album L.,LC,N,,ROC
Sedum forsterianum Smith,LC,N,,DRY
Sedum rubens L.,RE,N,,ROC
Sedum rupestre L.,LC,N,,ROC
Sedum sexangulare L.,EN,N,B1a+2b(iv),ROC
Sedum telephium L.,LC,N,,ROC
Selinum carvifolia (L.) L.,VU,N,"B2b(iii,iv)",MAR
Sempervivum tectorum L.,RE,EA,,ROC
Senecio aquaticus Hill,EN,N,"B2b(iv,v)",MAR
Senecio erucifolius L.,LC,N,,DRY
Senecio inaequidens DC.,LC,EA,,RUD
Senecio jacobaea L.,LC,N,,GRA
"Senecio ovatus (Gaertn., B. Mey. et Scherb.) Willd.",LC,N,,FOR
Senecio sarracenicus L.,CR,N,C2a(ii),FRE
Senecio sylvaticus L.,LC,N,,FOR
Senecio vernalis Waldst. et Kit.,LC,EA,,RUD
Senecio viscosus L.,LC,N,,RUD
Senecio vulgaris L.,LC,N,,RUD
Serratula tinctoria L.,CR,N,"B2b(iii,iv)",DRY
Seseli annuum L.,CR,N,"B2b(iii,iv)",DRY
Seseli libanotis (L.) Koch,VU,N,B2b(iv),ROC
Sesleria caerulea (L.) Ard.,R,N,,DRY
Setaria pumila (Poir.) Roem. et Schult.,EN,N,B2b(iv),RUD
Setaria verticillata (L.) Beauv.,LC,N,,RUD
Setaria viridis (L.) Beauv.,LC,N,,RUD
Sherardia arvensis L.,EN,N,"B2b(iv,v)",RUD
Silaum silaus (L.) Schinz et Thell.,LC,N,,MAR
Silene armeria L.,R,N,,DRY
Silene conica L.,RE,N,,DRY
Silene dichotoma Ehrh.,CR,EA,"B2b(iv,v)",RUD
Silene dioica (L.) Clairv.,LC,N,,FOR
Silene latifolia Poiret subsp. alba (Mill.) Greuter et Burdet,LC,N,,RUD
Silene noctiflora L.,CR,N,"B2b(iv,v)",RUD
Silene nutans L.,LC,N,,ROC
Silene vulgaris (Moench) Garcke,LC,N,,FOR
Sinapis arvensis L.,LC,N,,RUD
Sisymbrium officinale (L.) Scop.,LC,N,,RUD
Solanum dulcamara L.,LC,N,,FRE
Solanum nigrum L.,LC,N,,RUD
Solidago canadensis L.,LC,EA,,RUD
Solidago gigantea Ait.,LC,EA,,RUD
Solidago virgaurea L.,LC,N,,FOR
Sonchus arvensis L.,LC,N,,RUD
Sonchus asper (L.) Hill,LC,N,,RUD
Sonchus oleraceus L.,LC,N,,MAR
Sorbus aria (L.) Crantz,LC,N,,FOR
Sorbus aucuparia L.,LC,N,,FOR
Sorbus latifolia (Lam.) Pers.,R,N,,FOR
Sorbus semiincisa Borbás,LC,N,,FOR
Sorbus torminalis (L.) Crantz,LC,N,,FOR
Sparganium emersum Rehm.,EN,N,B1a+2b(iv),AQU
Sparganium erectum L.,LC,N,,AQU
Sparganium natans L.,RE,N,,AQU
Spergula arvensis L.,LC,N,,RUD
Spergula pentandra L.,RE,N,,RUD
Spergularia rubra (L.) J. et C. Presl,LC,N,,ROC
Spirodela polyrhiza (L.) Schleid.,R,N,,AQU
Stachys alpina L.,VU,N,B1a+2b(iv),FOR
Stachys annua (L.) L.,CR,N,"B2b(iv,v)",RUD
Stachys arvensis (L.) L.,EN,N,"B2b(iv,v)",RUD
Stachys officinalis (L.) Trev.,LC,N,,DRY
Stachys palustris L.,LC,N,,MAR
Stachys recta L.,VU,N,"B2b(iii,iv)",DRY
Stachys sylvatica L.,LC,N,,FOR
Stellaria alsine Grimm,LC,N,,MAR
Stellaria graminea L.,LC,N,,DRY
Stellaria holostea L.,LC,N,,FOR
Stellaria media (L.) Vill.,LC,N,,RUD
Stellaria nemorum L.,LC,N,,FOR
Stellaria palustris Retz.,CR,N,C2a(ii),MAR
Succisa pratensis Moench,VU,N,"B2b(iii,iv)",MAR
Symphytum officinale L.,LC,N,,FRE
Symphytum xuplandicum Nyman,NE,EA,,RUD
Syringa vulgaris L.,LC,EA,,ROC
Tamus communis L.,EN,N,B1a; C2a(i),FOR
Tanacetum parthenium (L.) Schultz-Bip.,LC,EA,,RUD
Tanacetum vulgare L.,LC,N,,RUD
Taraxacum acutangulum Markl.,NE,N,,GRA
Taraxacum adamii Claire,NE,N,,GRA
Taraxacum alatum Lindb. f.,NE,N,,GRA
Taraxacum anglicum Dahlst. ex Druce,NE,N,,MAR
Taraxacum copidophyllum Dahlst.,NE,N,,GRA
Taraxacum crispulum Hagl.,NE,N,,GRA
Taraxacum dahlstedtii Lindb. f.,NE,N,,GRA
Taraxacum dilatatum Lindb. f.,NE,N,,GRA
Taraxacum duplidentifrons Dahlst.,NE,N,,GRA
Taraxacum ekmanii Dahlst.,NE,N,,GRA
Taraxacum haematicum Hagl.,NE,N,,GRA
Taraxacum hollandicum v. Soest,NE,N,,MAR
Taraxacum lacistophylloides Dahlst.,NE,N,,ROC
Taraxacum lacistophyllum (Dahlst.) Raunk.,NE,N,,ROC
Taraxacum ochrochlorum Hagl.,NE,N,,GRA
Taraxacum pectinatiforme Lindb. f.,NE,N,,GRA
Taraxacum reichlingii v. Soest,RE,N,,MAR
Taraxacum rivulare v. Soest,RE,N,,GRA
Taraxacum rubicundum (Dahlst.) Dahlst.,NE,N,,ROC
Taraxacum scanicum Dahlst.,NE,N,,ROC
Taraxacum sellandii Dahlst.,NE,N,,GRA
Taraxacum silesiacum Dahlst. ex Hagl.,NE,N,,ROC
Taraxacum subpallidissimum v. Soest,NE,N,,GRA
Taraxacum subundulatum Dahlst.,NE,N,,GRA
Taraxacum tortilobum Florstr.,NE,N,,ROC
Taraxacum trilobatum Palmgren,NE,N,,GRA
Taraxacum undulatiforme Dahlst.,NE,N,,GRA
Taraxacum undulatum Lindb. f. et Markl.,NE,N,,GRA
Taxus baccata L.,LC,EA,,FOR
Teesdalia nudicaulis (L.) R. Brown,LC,N,,ROC
Tephroseris helenitis (L.) Nordenstam,EN,N,"B1a+2b(iv,v)",ROC
Tetragonolobus maritimus (L.) Roth,EN,N,B2b(iv),DRY
Teucrium botrys L.,VU,N,B1a+2b(iv),ROC
Teucrium chamaedrys L.,VU,N,B1a+2b(iv),DRY
Teucrium montanum L.,RE,N,,DRY
Teucrium scorodonia L.,LC,N,,FOR
Thalictrum flavum L.,VU,N,B1a+2b(iv),MAR
Thalictrum minus L. subsp. pratense (F.W. Schultz) Hand,CR,N,"B2b(iii,iv)",DRY
Thelypteris palustris Schott,CR,N,C2a(ii),MAR
Thesium pyrenaicum Pourr.,CR,N,C2a(ii),DRY
Thlaspi arvense L.,LC,N,,RUD
Thlaspi caerulescens J. et C. Presl,LC,N,,DRY
Thlaspi montanum L.,RE,N,,DRY
Thlaspi perfoliatum L.,LC,N,,RUD
Thymelea passerina (L.) Coss. et Germ.,RE,N,,RUD
Thymus praecox Opiz,R,N,,ROC
Thymus pulegioides L.,LC,N,,DRY
Tilia cordata Mill.,LC,N,,FOR
Tilia platyphyllos Scop.,LC,N,,FOR
Torilis arvensis (Huds.) Link,EN,N,"B1a+2b(iv,v)",RUD
Torilis japonica (Houtt.) DC.,LC,N,,FOR
Tragopogon pratensis L.,LC,N,,DRY
Tragopogon pratensis L. subsp. orientalis (L.) Čelak.,CR,N,"B2b(iii,iv)",DRY
Trichomanes speciosum Willd.,LC,N,,ROC
Trifolium alpestre L.,CR,N,B2b(iii),DRY
Trifolium arvense L.,LC,N,,DRY
Trifolium aureum Pollich,EN,N,B2b(iv),DRY
Trifolium campestre Schreb.,LC,N,,DRY
Trifolium dubium Sibth.,LC,N,,GRA
Trifolium fragiferum L.,LC,N,,DRY
Trifolium hybridum L.,LC,EA,,GRA
Trifolium medium L.,LC,N,,DRY
Trifolium micranthum Viv.,RE,N,,DRY
Trifolium montanum L.,VU,N,B2b(iv),DRY
Trifolium ochroleucon Huds.,VU,N,B1a+2b(iv),DRY
Trifolium pratense L.,LC,N,,GRA
Trifolium repens L.,LC,N,,GRA
Trifolium rubens L.,CR,N,"B2b(iii,iv)",DRY
Trifolium striatum L.,EN,N,"B2b(iv,v)",DRY
Triglochin palustre L.,CR,N,"B2b(iii,iv)",MAR
Trisetum flavescens (L.) Beauv.,LC,N,,GRA
Turgenia latifolia (L.) Hoffm.,RE,N,,RUD
Tussilago farfara L.,LC,N,,RUD
Typha angustifolia L.,EN,N,"B1a+2b(iv,v)",FRE
Typha latifolia L.,LC,N,,FRE
Ulex europaeus L.,CR,EA,B2b(iv),FOR
Ulmus glabra Huds.,LC,N,,FOR
Ulmus laevis Pallas,CR,N,D1,FOR
Ulmus minor Mill.,LC,N,,FOR
Urtica dioica L.,LC,N,,RUD
Urtica urens L.,CR,N,"B2b(iii,iv)",RUD
Utricularia australis R. Brown,EN,N,B2b(iv),AQU
Utricularia vulgaris L.,EN,N,B2b(iv),AQU
Vaccaria hispanica (Mill.) Rauschert,RE,N,,RUD
Vaccinium myrtillus L.,LC,N,,FOR
Vaccinium oxycoccos L.,CR,N,"B2b(iii,iv)",MAR
Vaccinium vitis-idaea L.,CR,N,B2b(iii),DRY
Valeriana dioica L.,EN,N,"B2b(iv,v)",MAR
Valeriana repens Host,LC,N,,MAR
Valeriana wallrothii Kreyer,LC,N,,FOR
Valerianella carinata Loisel.,LC,N,,RUD
Valerianella dentata (L.) Pollich,EN,N,"B2b(iv,v)+2c(iv)",RUD
Valerianella locusta (L.) Laterr.,LC,N,,RUD
Valerianella rimosa Bast.,EN,N,"B2b(iv,v)+2c(iv)",RUD
Vallisneria spiralis L.,CR,EA,B2b(iv),AQU
Verbascum densiflorum Bertol.,VU,N,B1a+2b(iv),RUD
Verbascum lychnitis L.,LC,N,,ROC
Verbascum nigrum L.,LC,N,,RUD
Verbascum phlomoides L.,RE,N,,RUD
Verbascum pulverulentum Vill.,CR,N,C2a(ii),ROC
Verbascum thapsus L.,NT,N,,RUD
Verbena officinalis L.,LC,N,,RUD
Veronica agrestis L.,LC,N,,RUD
Veronica anagallis-aquatica L. subsp. anagallis-aquatica,EN,N,B2b(iv),FRE
Veronica anagallis-aquatica L. subsp. aquatica Nyman,CR,N,B2b(iv),FRE
Veronica arvensis L.,LC,N,,RUD
Veronica beccabunga L.,LC,N,,FRE
Veronica chamaedrys L.,LC,N,,DRY
Veronica filiformis Smith,R,EA,,GRA
Veronica hederifolia L.,LC,N,,RUD
Veronica montana L.,LC,N,,FOR
Veronica officinalis L.,LC,N,,FOR
Veronica persica Poir.,LC,EA,,RUD
Veronica polita Fries,EN,N,"B2b(iv,v)",RUD
Veronica praecox All.,RE,N,,RUD
Veronica scutellata L.,EN,N,B2b(iv),MAR
Veronica serpyllifolia L.,LC,N,,GRA
Veronica teucrium L.,CR,N,"B2b(iii,iv)",DRY
Veronica triphyllos L.,CR,N,"B2b(iv,v)",RUD
Veronica verna L.,CR,N,"B2b(iii,iv)",RUD
Viburnum lantana L.,LC,N,,FOR
Viburnum opulus L.,LC,N,,FOR
Vicia cracca L.,LC,N,,GRA
Vicia hirsuta (L.) S. F. Gray,LC,N,,RUD
Vicia lathyroides L.,CR,N,"B2b(iii,iv)",DRY
Vicia lutea L.,LC,EA,,RUD
Vicia pisiformis L.,CR,N,B1a,FOR
Vicia sativa L.,LC,EA,,RUD
Vicia sepium L.,LC,N,,FOR
Vicia tenuifolia Roth,LC,N,,DRY
Vicia tetrasperma (L.) Schreb.,LC,N,,RUD
Vicia tetrasperma (L.) Schreb. subsp. gracilis (DC.) Hook. f.,CR,N,B2b(iii),RUD
Vicia villosa Roth,LC,EA,,RUD
Vinca minor L.,LC,N,,FOR
Vincetoxicum hirundinaria Med.,VU,N,B2b(iv),FOR
Viola arvensis Murray,LC,N,,RUD
Viola canina L.,EN,N,B1a+2b(iv),DRY
Viola hirta L.,LC,N,,FOR
Viola mirabilis L.,R,N,,FOR
Viola odorata L.,LC,N,,FOR
Viola palustris L.,EN,N,"B2b(iv,v)",MAR
Viola reichenbachiana Jord. ex Boreau,LC,N,,FOR
Viola riviniana Reichenb.,LC,N,,FOR
Viola tricolor L.,LC,N,,RUD
Viscum album L.,LC,N,,FOR
Vulpia bromoides (L.) S. F. Gray,CR,N,"B2b(iii,iv)",DRY
Vulpia myuros (L.) C. C. Gmel.,EN,N,"B2b(iv,v)",RUD
Wahlenbergia hederacea (L.) Reichenb.,CR,N,C2a(ii),MAR
Xanthium strumarium L.,RE,EA,,RUD
Zannichellia palustris L.,LC,N,,AQU
